2018-12-07 00:00:11 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:祝小宝贝们天天开心！
2018-12-07 00:00:38 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:我们在家等你们哦！快点来开门！
2018-12-07 00:10:21 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:妈呀！包子生日快乐！！！
2018-12-07 00:11:28 {忽悠,17}[季老](UL 23)汎汎儿[349322200]:7
2018-12-07 00:11:38 {忽悠,17}[季老](UL 23)汎汎儿[349322200]:包子生日快樂
2018-12-07 00:13:26 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:mua
2018-12-07 00:13:37 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:往年生日无欲无求
2018-12-07 00:13:47 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:今年希望愿望早点实现
2018-12-07 00:13:59 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:很快就会实现的！
2018-12-07 00:15:43 {忽悠,17}[季老](UL 23)汎汎儿[349322200]:会的
2018-12-07 00:17:44 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:嗯嗯
2018-12-07 00:34:34 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:忍不住睡前再来看一眼
2018-12-07 00:46:15 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:快睡吧 很晚了
2018-12-07 00:50:11 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:大家晚安安
2018-12-07 00:51:30 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:晚安呀
2018-12-07 00:51:42 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:QAQ
2018-12-07 00:51:46 {忽悠,12}[黎明之光](UL 17)悠梨一直在不会走的[10695010]:晚安啦
2018-12-07 00:51:46 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:我要做作业
2018-12-07 00:52:28 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:不敢关直播间
2018-12-07 00:52:41 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:怕关掉就进不来了
2018-12-07 00:52:57 {忽悠,12}[黎明之光](UL 17)悠梨一直在不会走的[10695010]:我关了能再回来
2018-12-07 00:53:03 {忽悠,12}[黎明之光](UL 17)悠梨一直在不会走的[10695010]:不知为什么
2018-12-07 00:53:11 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:这么神奇的
2018-12-07 00:53:15 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:哇
2018-12-07 00:54:13 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:？？？惊了（）
2018-12-07 00:54:18 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:不敢关+1
2018-12-07 00:54:23 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:qaq
2018-12-07 00:54:23 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:羡慕（）
2018-12-07 00:54:29 {忽悠,12}[黎明之光](UL 17)悠梨一直在不会走的[10695010]:哈哈哈哈
2018-12-07 00:54:42 {忽悠,12}[一见倾心](UL 21)Ahgase桐酱[34034874]:我喜欢这个bug
2018-12-07 01:45:32 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:晚安呀
2018-12-07 01:45:40 {忽悠,11}[Rhythm Saber](UL 20)_譞子是萱子呀[4641271]:我也去睡了
2018-12-07 02:11:26 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:太神奇了
2018-12-07 02:11:30 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:我一直没关
2018-12-07 07:10:27 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:早！
2018-12-07 07:11:16 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:记得签到和投票喔~
2018-12-07 07:11:36 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:应援团签到能+10亲密
2018-12-07 07:11:48 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:今天也要当个元气满满的人呀！
2018-12-07 08:40:52 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:早上好啊！！
2018-12-07 08:51:28 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:早早早 包子妈早上好
2018-12-07 09:05:27 {忽悠,5}(UL 0)包子妈喜欢包子和忽悠[16409467]:重重早上好！
2018-12-07 09:25:24 {忽悠,17}[守护时光](UL 30)鬼哇要用铁板煎忽悠[39397806]:嘿
2018-12-07 09:33:04 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:啦啦啦
2018-12-07 09:35:45 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:难得冷静的家里
2018-12-07 09:36:20 {忽悠,17}[守护时光](UL 30)鬼哇要用铁板煎忽悠[39397806]:煎忽忽
2018-12-07 09:44:11 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:1
2018-12-07 09:44:20 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:不不！！！！
2018-12-07 09:44:24 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:好久不见！！！
2018-12-07 09:44:28 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:重重想死你了！
2018-12-07 09:44:33 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:哎
2018-12-07 09:44:46 {忽悠,17}[守护时光](UL 30)鬼哇要用铁板煎忽悠[39397806]:啦啦啦(～￣▽￣)～
2018-12-07 09:45:11 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:就你俩吗
2018-12-07 09:45:17 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:呜呜呜呜
2018-12-07 09:45:30 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:还有一些本来就关在门里的 但是人不多
2018-12-07 09:45:39 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:我们仨是打地洞进来的哈哈哈
2018-12-07 09:46:00 {忽悠,17}[守护时光](UL 30)鬼哇要用铁板煎忽悠[39397806]:哈哈哈打地洞
2018-12-07 09:46:00 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:嗯嗯
2018-12-07 09:47:02 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:特殊小技巧嘿嘿嘿
2018-12-07 09:47:49 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:还有人气呢
2018-12-07 09:48:16 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:我昨天进来 气人值20几万 很迷
2018-12-07 09:48:30 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:233
2018-12-07 09:48:53 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:可以送礼物不
2018-12-07 09:49:06 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:好像不行...
2018-12-07 09:50:44 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:可惜惹
2018-12-07 09:54:44 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:哎呀，还可以禁言呢
2018-12-07 09:54:58 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:超级好用嘻嘻嘻
2018-12-07 09:55:36 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:好难得看到这么冷清的版聊村啊
2018-12-07 09:55:51 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:嗯嗯
2018-12-07 09:59:33 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:好想知道家里现在多少人啊呜呜
2018-12-07 09:59:54 [年爷]{忽悠,15}[永恒誓约](UL 23)葉重_hiero[4973971]:昨天我看到除了我们三个 还有三个
2018-12-07 10:01:58 {忽悠,17}[幻影](UL 23)不不要用铁锅炖忽悠[283236822]:٩(๑>◡
